meshcode,option1,option2,option3,option4,option5,option6,value
53391576,14,14101,2019,12,2,1,187
53391576,14,14101,2019,12,2,2,350
53391577,14,14101,2019,12,0,0,618
53391577,14,14101,2019,12,0,1,314
53391577,14,14101,2019,12,0,2,482
53391577,14,14101,2019,12,1,0,1325
53391577,14,14101,2019,12,1,1,510
53391577,14,14101,2019,12,1,2,915
53391577,14,14101,2019,12,2,0,1120
53391577,14,14101,2019,12,2,1,453
53391577,14,14101,2019,12,2,2,789
53391583,14,14101,2019,12,0,0,2556
53391583,14,14101,2019,12,0,1,686
53391583,14,14101,2019,12,0,2,1557
53391583,14,14101,2019,12,1,0,5050
53391583,14,14101,2019,12,1,1,1219
53391583,14,14101,2019,12,1,2,3039
53391583,14,14101,2019,12,2,0,4326
53391583,14,14101,2019,12,2,1,1064
53391583,14,14101,2019,12,2,2,2609
53391584,14,14101,2019,12,0,0,504
53391584,14,14101,2019,12,0,1,217
53391584,14,14101,2019,12,0,2,323
53391584,14,14101,2019,12,1,0,3127
53391584,14,14101,2019,12,1,1,429
53391584,14,14101,2019,12,1,2,1617
53391584,14,14101,2019,12,2,0,2365
53391584,14,14101,2019,12,2,1,368
53391584,14,14101,2019,12,2,2,1242
53391585,14,14101,2019,12,0,0,341
53391585,14,14101,2019,12,0,1,70
53391585,14,14101,2019,12,0,2,192
53391585,14,14101,2019,12,1,0,2891
53391585,14,14101,2019,12,1,1,291
53391585,14,14101,2019,12,1,2,1429
53391585,14,14101,2019,12,2,0,2150
53391585,14,14101,2019,12,2,1,227
53391585,14,14101,2019,12,2,2,1070
53391586,14,14101,2019,12,0,0,276
53391586,14,14101,2019,12,0,1,36
53391586,14,14101,2019,12,0,2,151
53391586,14,14101,2019,12,1,0,1047
53391586,14,14101,2019,12,1,1,121
53391586,14,14101,2019,12,1,2,518
53391586,14,14101,2019,12,2,0,823
53391586,14,14101,2019,12,2,1,96
53391586,14,14101,2019,12,2,2,411
53391593,14,14101,2019,12,0,0,13627
53391593,14,14101,2019,12,0,1,16547
53391593,14,14101,2019,12,0,2,15141
53391593,14,14101,2019,12,1,0,11808
53391593,14,14101,2019,12,1,1,16558
53391593,14,14101,2019,12,1,2,14956
53391593,14,14101,2019,12,2,0,12336
53391593,14,14101,2019,12,2,1,16555
53391593,14,14101,2019,12,2,2,15009
53391594,14,14101,2019,12,0,0,5599
53391594,14,14101,2019,12,0,1,5576
53391594,14,14101,2019,12,0,2,5583
53391594,14,14101,2019,12,1,0,7226
53391594,14,14101,2019,12,1,1,6256
53391594,14,14101,2019,12,1,2,6676
53391594,14,14101,2019,12,2,0,6754
53391594,14,14101,2019,12,2,1,6059
53391594,14,14101,2019,12,2,2,6359
53391595,14,14101,2019,12,0,0,1883
53391595,14,14101,2019,12,0,1,1128
53391595,14,14101,2019,12,0,2,1410
53391595,14,14101,2019,12,1,0,7635
53391595,14,14101,2019,12,1,1,1786
53391595,14,14101,2019,12,1,2,4444
53391595,14,14101,2019,12,2,0,5965
53391595,14,14101,2019,12,2,1,1595
53391595,14,14101,2019,12,2,2,3563
53391596,14,14101,2019,12,0,0,571
53391596,14,14101,2019,12,0,1,143
53391596,14,14101,2019,12,0,2,339
53391596,14,14101,2019,12,1,0,3000
53391596,14,14101,2019,12,1,1,549
53391596,14,14101,2019,12,1,2,1662
53391596,14,14101,2019,12,2,0,2294
53391596,14,14101,2019,12,2,1,431
53391596,14,14101,2019,12,2,2,1278
53392502,14,14101,2019,12,0,0,9968
53392502,14,14101,2019,12,0,1,13500
53392502,14,14101,2019,12,0,2,11842
53392502,14,14101,2019,12,1,0,6241
53392502,14,14101,2019,12,1,1,13016
53392502,14,14101,2019,12,1,2,9663
53392502,14,14101,2019,12,2,0,7323
53392502,14,14101,2019,12,2,1,13156
53392502,14,14101,2019,12,2,2,10295
53392503,14,14101,2019,12,0,0,10881
53392503,14,14101,2019,12,0,1,12487
53392503,14,14101,2019,12,0,2,11620
53392503,14,14101,2019,12,1,0,8429
53392503,14,14101,2019,12,1,1,12817
53392503,14,14101,2019,12,1,2,10706
53392503,14,14101,2019,12,2,0,9141
53392503,14,14101,2019,12,2,1,12721
53392503,14,14101,2019,12,2,2,10971
53392504,14,14101,2019,12,0,0,22093
53392504,14,14101,2019,12,0,1,23002
53392504,14,14101,2019,12,0,2,22635
53392504,14,14101,2019,12,1,0,20596
53392504,14,14101,2019,12,1,1,23184
53392504,14,14101,2019,12,1,2,22773
53392504,14,14101,2019,12,2,0,21031
53392504,14,14101,2019,12,2,1,23131
53392504,14,14101,2019,12,2,2,22733
53392505,14,14101,2019,12,0,0,10012
53392505,14,14101,2019,12,0,1,12567
53392505,14,14101,2019,12,0,2,11282
53392505,14,14101,2019,12,1,0,12940
53392505,14,14101,2019,12,1,1,12950
53392505,14,14101,2019,12,1,2,12529
53392505,14,14101,2019,12,2,0,12090
53392505,14,14101,2019,12,2,1,12839
53392505,14,14101,2019,12,2,2,12167
53392511,14,14101,2019,12,0,0,8323
53392511,14,14101,2019,12,0,1,11108
53392511,14,14101,2019,12,0,2,10016
53392511,14,14101,2019,12,1,0,5065
53392511,14,14101,2019,12,1,1,11183
53392511,14,14101,2019,12,1,2,8085
53392511,14,14101,2019,12,2,0,6011
53392511,14,14101,2019,12,2,1,11161
53392511,14,14101,2019,12,2,2,8645
53392512,14,14101,2019,12,0,0,8430
53392512,14,14101,2019,12,0,1,11966
53392512,14,14101,2019,12,0,2,10349
53392512,14,14101,2019,12,1,0,5732
53392512,14,14101,2019,12,1,1,11830
53392512,14,14101,2019,12,1,2,8840
53392512,14,14101,2019,12,2,0,6515
53392512,14,14101,2019,12,2,1,11870
53392512,14,14101,2019,12,2,2,9278
53392513,14,14101,2019,12,0,0,14254
53392513,14,14101,2019,12,0,1,17379
53392513,14,14101,2019,12,0,2,15681
53392513,14,14101,2019,12,1,0,8989
53392513,14,14101,2019,12,1,1,16686
53392513,14,14101,2019,12,1,2,12628
53392513,14,14101,2019,12,2,0,10518
53392513,14,14101,2019,12,2,1,16887
53392513,14,14101,2019,12,2,2,13515
53392514,14,14101,2019,12,0,0,24789
53392514,14,14101,2019,12,0,1,24674
53392514,14,14101,2019,12,0,2,24971
53392514,14,14101,2019,12,1,0,18925
53392514,14,14101,2019,12,1,1,25426
53392514,14,14101,2019,12,1,2,23348
53392514,14,14101,2019,12,2,0,20627
53392514,14,14101,2019,12,2,1,25208
53392514,14,14101,2019,12,2,2,23819
53392515,14,14101,2019,12,0,0,10895
53392515,14,14101,2019,12,0,1,14613
53392515,14,14101,2019,12,0,2,12737
53392515,14,14101,2019,12,1,0,7997
53392515,14,14101,2019,12,1,1,14637
53392515,14,14101,2019,12,1,2,11117
53392515,14,14101,2019,12,2,0,8838
53392515,14,14101,2019,12,2,1,14630
53392515,14,14101,2019,12,2,2,11587
53392521,14,14101,2019,12,0,0,12053
53392521,14,14101,2019,12,0,1,8516
53392521,14,14101,2019,12,0,2,9884
53392521,14,14101,2019,12,1,0,6301
53392521,14,14101,2019,12,1,1,7753
53392521,14,14101,2019,12,1,2,6771
53392521,14,14101,2019,12,2,0,7971
53392521,14,14101,2019,12,2,1,7974
53392521,14,14101,2019,12,2,2,7675
53392522,14,14101,2019,12,0,0,5214
53392522,14,14101,2019,12,0,1,6034
53392522,14,14101,2019,12,0,2,5596
53392522,14,14101,2019,12,1,0,3211
53392522,14,14101,2019,12,1,1,5676
53392522,14,14101,2019,12,1,2,4424
53392522,14,14101,2019,12,2,0,3793
53392522,14,14101,2019,12,2,1,5780
53392522,14,14101,2019,12,2,2,4764
53392523,14,14101,2019,12,0,0,9639
53392523,14,14101,2019,12,0,1,10944
53392523,14,14101,2019,12,0,2,10244
53392523,14,14101,2019,12,1,0,7995
53392523,14,14101,2019,12,1,1,11019
53392523,14,14101,2019,12,1,2,9399
53392523,14,14101,2019,12,2,0,8472
53392523,14,14101,2019,12,2,1,10998
53392523,14,14101,2019,12,2,2,9645
53392524,14,14101,2019,12,0,0,18938
53392524,14,14101,2019,12,0,1,21580
53392524,14,14101,2019,12,0,2,20516
53392524,14,14101,2019,12,1,0,13701
53392524,14,14101,2019,12,1,1,21211
53392524,14,14101,2019,12,1,2,17883
53392524,14,14101,2019,12,2,0,15221
53392524,14,14101,2019,12,2,1,21318
53392524,14,14101,2019,12,2,2,18647
53392532,14,14101,2019,12,0,0,6537
53392532,14,14101,2019,12,0,1,7832
53392532,14,14101,2019,12,0,2,7264
53392532,14,14101,2019,12,1,0,5351
53392532,14,14101,2019,12,1,1,7503
53392532,14,14101,2019,12,1,2,6337
53392532,14,14101,2019,12,2,0,5695
53392532,14,14101,2019,12,2,1,7598
53392532,14,14101,2019,12,2,2,6606
53392533,14,14101,2019,12,0,0,9699
53392533,14,14101,2019,12,0,1,12127
53392533,14,14101,2019,12,0,2,11075
53392533,14,14101,2019,12,1,0,7502
53392533,14,14101,2019,12,1,1,11893
53392533,14,14101,2019,12,1,2,9601
53392533,14,14101,2019,12,2,0,8140
53392533,14,14101,2019,12,2,1,11961
53392533,14,14101,2019,12,2,2,10029
53392534,14,14101,2019,12,0,0,20223
53392534,14,14101,2019,12,0,1,23070
53392534,14,14101,2019,12,0,2,21685
53392534,14,14101,2019,12,1,0,15169
53392534,14,14101,2019,12,1,1,23435
53392534,14,14101,2019,12,1,2,19680
53392534,14,14101,2019,12,2,0,16636
53392534,14,14101,2019,12,2,1,23329
53392534,14,14101,2019,12,2,2,20262
53392542,14,14101,2019,12,0,0,6337
53392542,14,14101,2019,12,0,1,8110
