place_id,lat,lon,name,option1,option2,option3,option4,option5
北区,35.04104107636163,135.75423812851363,北区役所,Wi-Fi計測
左京区,35.0484293108389,135.77836067030788,左京区役所,Wi-Fi計測
右京区,35.01026888070186,135.71624172112917,右京区役所,Wi-Fi計測
上京区,35.029586319785174,135.75659281235357,上京区役所,Wi-Fi計測
中京区,35.01008579888354,135.75139681259523,中京区役所,Wi-Fi計測
東山区,34.99708316052934,135.77671342875337,東山区役所,Wi-Fi計測
下京区,34.987439300831554,135.75549211143309,下京区役所,Wi-Fi計測
山科区,34.97237240414923,135.81372140373014,山科区役所,Wi-Fi計測
西京区,34.98512140374672,135.69319019227663,西京区役所,Wi-Fi計測
伏見区,34.93598967523837,135.76140628372036,伏見区役所,Wi-Fi計測
南区,34.976451267111614,135.74641005014269,南区役所,Wi-Fi計測
